Hora,T1,T2,T3,Pressao,Empuxo,Falhas
17:11:58,2325,2650,2250,0,0,0
17:11:58,2325,2600,2275,0,0,0
17:11:59,2325,2625,2275,0,0,0
17:11:59,2300,2550,2250,0,0,0
17:11:59,2300,2625,2300,0,0,0
17:11:59,2350,2650,2275,0,0,0
17:12:00,2325,2650,2275,0,0,0
17:12:00,2325,2625,2300,0,0,0
17:12:00,2350,2650,2300,0,0,0
17:12:00,2300,2625,2275,0,0,0
17:12:01,2275,2650,2250,0,0,0
17:12:01,2325,2650,2275,0,0,0
17:12:01,2325,2575,2275,0,0,0
17:12:01,2325,2650,2250,0,0,0
17:12:02,2300,2600,2250,0,0,0
17:12:02,2275,2625,2275,0,0,0
17:12:02,2275,2625,2275,0,0,0
17:12:02,2350,2600,2250,0,0,0
17:12:03,2275,2625,2225,0,0,0
17:12:03,2325,2600,2250,0,0,0
17:12:03,2350,2550,2300,0,0,0
17:12:04,2325,2600,2275,0,0,0
17:12:04,2325,2625,2300,0,0,0
17:12:04,2325,2625,2275,0,0,0
17:12:04,2300,2600,2250,0,0,0
17:12:05,2325,2625,2275,0,0,0
17:12:05,2300,2625,2275,0,0,0
17:12:05,2275,2600,2250,0,0,0
17:12:05,2325,2600,2300,0,0,0
17:12:06,2325,2575,2275,0,0,0
17:12:06,2300,2600,2225,0,0,0
17:12:06,2325,2600,2250,0,0,0
17:12:06,2300,2600,2275,0,0,0
17:12:07,2325,2625,2250,0,0,0
17:12:07,2350,2600,2200,0,0,0
17:12:07,2275,2600,2250,0,0,0
17:12:07,2325,2575,2250,0,0,0
17:12:08,2275,2600,2250,0,0,0
17:12:08,2325,2600,2275,0,0,0
17:12:08,2275,2625,2250,0,0,0
17:12:08,2300,2625,2275,0,0,0
17:12:09,2325,2600,2275,0,0,0
17:12:09,2300,2600,2275,0,0,0
17:12:09,2325,2625,2275,0,0,0
17:12:09,2325,2600,2275,0,0,0
17:12:10,2325,2625,2275,0,0,0
17:12:10,2300,2625,2275,0,0,0
17:12:10,2325,2600,2300,0,0,0
17:12:10,2300,2600,2275,0,0,0
17:12:11,2275,2625,2300,0,0,0
17:12:11,2325,2575,2275,0,0,0
17:12:11,2300,2625,2275,0,0,0
17:12:11,2300,2575,2250,0,0,0
17:12:12,2300,2625,2275,0,0,0
17:12:12,2325,2625,2250,0,0,0
17:12:12,2325,2625,2300,0,0,0
17:12:12,2300,2625,2250,0,0,0
17:12:13,2325,2625,2300,0,0,0
17:12:13,2325,2625,2250,0,0,0
17:12:13,2325,2600,2300,0,0,0
17:12:13,2325,2625,2275,0,0,0
17:12:14,2325,2600,2275,0,0,0
17:12:14,2300,2625,2250,0,0,0
17:12:14,2300,2625,2275,0,0,0
17:12:14,2325,2625,2275,0,0,0
17:12:14,2300,2625,2250,0,0,0
17:12:15,2325,2625,2250,0,0,0
17:12:15,2325,2625,2225,0,0,0
17:12:15,2325,2625,2250,0,0,0
17:12:16,2250,2625,2275,0,0,0
17:12:16,2275,2625,2250,0,0,0
17:12:16,2300,2625,2275,0,0,0
17:12:16,2300,2625,2275,0,0,0
17:12:17,2300,2625,2275,0,0,0
17:12:17,2325,2550,2275,0,0,0
17:12:17,2325,2625,2300,0,0,0
17:12:18,2325,2600,2300,0,0,0
17:12:18,2275,2600,2225,0,0,0
17:12:18,2325,2550,2275,0,0,0
17:12:18,2300,2600,2250,0,0,0
17:12:19,2325,2550,2275,0,0,0
17:12:19,2350,2550,2300,0,0,0
17:12:19,2275,2625,2250,0,0,0
17:12:20,2275,2600,2250,0,0,0
17:12:20,2275,2575,2250,0,0,0
17:12:20,2325,2650,2250,0,0,0
17:12:20,2325,2650,2325,0,0,0
17:12:21,2325,2625,2275,0,0,0
17:12:21,2275,2550,2225,0,0,0
17:12:21,2325,2550,2250,0,0,0
17:12:21,2350,2575,2275,0,0,0
17:12:22,2275,2600,2250,0,0,0
17:12:22,2325,2650,2250,0,0,0
17:12:22,2325,2625,2275,0,0,0
17:12:22,2275,2625,2275,0,0,0
17:12:23,2350,2600,2275,0,0,0
17:12:23,2325,2625,2275,0,0,0
17:12:23,2300,2625,2300,0,0,0
17:12:24,2350,2600,2275,0,0,0
17:12:24,2300,2600,2275,0,0,0
17:12:24,2325,2575,2275,0,0,0
17:12:24,2300,2575,2300,0,0,0
17:12:25,2300,2625,2300,0,0,0
17:12:25,2275,2550,2225,0,0,0
17:12:25,2325,2625,2250,0,0,0
17:12:25,2300,2575,2275,0,0,0
17:12:26,2325,2625,2275,0,0,0
17:12:26,2300,2625,2275,0,0,0
17:12:26,2300,2600,2275,0,0,0
17:12:26,2350,2625,2275,0,0,0
17:12:27,2350,2625,2275,0,0,0
17:12:27,2325,2600,2275,0,0,0
17:12:27,2300,2600,2250,0,0,0
17:12:27,2300,2625,2225,0,0,0
17:12:28,2300,2600,2275,0,0,0
17:12:28,2275,2600,2275,0,0,0
17:12:28,2325,2575,2275,0,0,0
17:12:28,2325,2600,2275,0,0,0
17:12:29,2275,2550,2275,0,0,0
17:12:29,2325,2600,2250,0,0,0
17:12:29,2350,2600,2275,0,0,0
17:12:29,2250,2600,2275,0,0,0
17:12:30,2325,2600,2275,0,0,0
17:12:30,2325,2600,2250,0,0,0
17:12:30,2350,2600,2250,0,0,0
17:12:30,2300,2600,2300,0,0,0
17:12:30,2300,2625,2250,0,0,0
17:12:31,2350,2625,2225,0,0,0
17:12:31,2325,2625,2250,0,0,0
17:12:31,2275,2575,2275,0,0,0
17:12:32,2350,2575,2300,0,0,0
17:12:32,2325,2650,2250,0,0,0
17:12:32,2325,2575,2275,0,0,0
17:12:32,2325,2600,2275,0,0,0
17:12:33,2325,2550,2275,0,0,0
17:12:33,2325,2625,2250,0,0,0
17:12:33,2325,2650,2275,0,0,0
17:12:33,2325,2625,2300,0,0,0
17:12:34,2325,2600,2275,0,0,0
17:12:34,2350,2625,2250,0,0,0
17:12:34,2275,2625,2275,0,0,0
17:12:34,2350,2575,2250,0,0,0
17:12:35,2325,2600,2275,0,0,0
17:12:35,2300,2600,2325,0,0,0
17:12:35,2325,2625,2275,0,0,0
17:12:36,2325,2575,2275,0,0,0
17:12:36,2325,2600,2275,0,0,0
17:12:36,2325,2650,2250,0,0,0
17:12:36,2325,2650,2300,0,0,0
17:12:37,2375,2575,2275,0,0,0
17:12:37,2300,2550,2250,0,0,0
17:12:37,2325,2600,2250,0,0,0
17:12:37,2300,2625,2275,0,0,0
17:12:38,2350,2625,2300,0,0,0
17:12:38,2300,2600,2250,0,0,0
17:12:38,2325,2625,2275,0,0,0
17:12:38,2325,2625,2275,0,0,0
17:12:39,2300,2575,2275,0,0,0
17:12:39,2325,2625,2275,0,0,0
17:12:39,2300,2625,2275,0,0,0
17:12:40,2300,2600,2275,0,0,0
17:12:40,2325,2625,2275,0,0,0
17:12:40,2275,2575,2275,0,0,0
17:12:40,2325,2550,2275,0,0,0
17:12:41,2325,2625,2275,0,0,0
17:12:41,2275,2600,2275,0,0,0
17:12:41,2325,2575,2300,0,0,0
17:12:41,2325,2625,2275,0,0,0
17:12:42,2275,2575,2250,0,0,0
17:12:42,2300,2575,2250,0,0,0
17:12:42,2325,2600,2250,0,0,0
